record_id,truck_id,service_date,service_type,cost,downtime_hours,odometer_at_service
MAINT-00001,TRK-01,2024-09-06,Alternator Replacement,903.89,14.8,529579
MAINT-00002,TRK-02,2024-09-03,Oil & Filter Change,1429.94,8.5,210539
MAINT-00003,TRK-01,2024-10-28,Reefer Unit Service,917.44,16.2,548463
MAINT-00004,TRK-02,2024-11-14,Alternator Replacement,771.01,4.3,234617
MAINT-00005,TRK-01,2025-01-05,Oil & Filter Change,2086.33,18.1,565705
MAINT-00006,TRK-02,2025-01-29,Oil & Filter Change,1591.94,13.3,255070
MAINT-00007,TRK-01,2025-04-05,Brake Service,780.39,14.8,591644
MAINT-00008,TRK-01,2025-05-13,Brake Service,1520.55,9.7,612285
MAINT-00009,TRK-02,2025-06-01,Alternator Replacement,1223.18,13.8,303253
MAINT-00010,TRK-01,2025-06-30,Transmission Service,1802.67,19.6,628808
MAINT-00011,TRK-01,2025-07-23,Reefer Unit Service,1244.3,7.4,645572
MAINT-00012,TRK-02,2025-07-29,Air System Repair,439.12,3.2,332161
MAINT-00013,TRK-01,2025-09-05,DPF/Regen Service,1007.85,4.0,662713
MAINT-00014,TRK-02,2025-09-16,Air System Repair,1769.1,4.4,354334
MAINT-00015,TRK-01,2025-10-07,Brake Service,655.63,16.4,680442
MAINT-00016,TRK-02,2025-11-09,Oil & Filter Change,545.69,8.5,375377
MAINT-00017,TRK-01,2025-11-30,Tire Replacement,704.02,12.1,699900
MAINT-00018,TRK-02,2026-02-26,Oil & Filter Change,1465.85,4.6,398155
MAINT-00019,TRK-01,2026-03-12,Air System Repair,1907.16,29.0,726983
MAINT-00020,TRK-01,2026-05-12,Tire Replacement,3234.46,19.6,748424
MAINT-00021,TRK-02,2026-06-11,Transmission Service,443.46,10.7,436877
MAINT-00022,TRK-01,2026-06-24,Brake Service,1488.89,29.1,766273
