month,avg_price,total_gallons,total_cost
2024-07,3.9700463954318344,28801.99,114382.96
2024-08,3.9647322057787173,28772.24,114076.74
2024-09,3.8370394831299355,28716.27,110167.79
2024-10,3.834008322663252,31558.67,121010.32
2024-11,4.036322443181818,28731.98,115976.04
2024-12,3.997719970523213,27462.82,109814.53
2025-01,3.951094699646643,28531.46,112749.39
2025-02,3.8578714401952805,24956.23,96296.29
2025-03,4.031599856321839,28797.63,116149.14
2025-04,4.074343609022557,27220.75,110929.88
2025-05,4.072764131193301,29233.24,119080.88
2025-06,3.912236673773987,28343.86,110904.6
2025-07,3.9232103786816266,28540.75,111934.94
2025-08,4.095074800290487,28351.45,116119.29
2025-09,3.99700283286119,29025.0,116027.84
2025-10,4.061976411722659,28678.73,116494.51
2025-11,4.102825221238938,28020.93,114947.93
2025-12,4.191533381712627,28365.26,118905.89
2026-01,4.079182262569833,28983.68,118214.46
2026-02,4.265544061302682,26924.0,114837.67
2026-03,4.247969337979094,29274.88,124296.56
2026-04,4.144861560084329,29213.88,121073.92
2026-05,4.178985693848355,28567.8,119404.68
2026-06,4.271425263157894,28582.99,122101.17
2026-07,4.331942857142857,1333.54,5777.68
